,auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_materials,artwork_markings,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,lot_origin_url
33,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,34,3000,5000,3825.0,Donald Allen Mosher ,1945,2014,American,"Inside Harbor, Ebb Tide ",oil on canvas,"signed 'Donald Allen Mosher' (lower left), titled on a label from The Pine Tree Shop and Bay View Gallery, Camden, Maine (affixed to the stretcher)",,,,24 x 30 in. (60.8 x 76.2 cm)framed 32 3/8 x 38 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
34,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,35,1200,1800,1912.5,Melville F. Stark ,1903,1987,American,Gloucester Harbor ,oil on canvas board,"signed 'M STARK' (lower right), titled and inscribed 'Gloucester Harbor/Mass/by/M Stark' (on the reverse)",,,,24 1/2 x 29 5/8 in. (62.5 x 75.5 cm)framed 30 1/4 x 35 1/2 x in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
35,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,36,3000,5000,7650.0,Anthony Thieme ,1888,1954,American,Rockport Square,oil on canvas ,"signed 'AThieme' (lower left), titled and numbered '...882 [within a circle]' (on the reverse)",,,,30 x 36 in. (76.5 x 91.5 cm)framed 36 3/4 x 42 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
36,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,37,6000,8000,11475.0,Eric Sloane ,1905,1985,American,Stone Barns in Autumn  ,oil on Masonite,signed 'Eric Sloane' (lower left),,,,23 1/8 x 35 1/4 in. (58.8 x 89.5 cm)framed 31 1/4 x 43 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
37,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,38,40000,60000,0.0,John Ford Clymer ,1907,1989,American,Home from Church on an Autumn Sunday ,oil on canvas,signed 'J. Clymer' (lower left),26,34,,26 x 34 in. (66.2 x 86.5 cm)framed 27 x 35 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
38,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,39,3000,5000,8925.0,Aldro Thompson Hibbard ,1886,1972,American,The Covered Bridge ,oil on board,"signed 'A.T. Hibbard' (lower left), identified and numbered 'C-11672' on a label from Maxwell Galleries, Ltd., San Francisco (affixed to the back of the frame)",,,,16 3/4 x 21 in. (42.5 x 53.3 cm)framed 24 3/8 x 28 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
39,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,40,2000,3000,1785.0,Carl Wuermer ,1900,1982,American,Village in Winter ,oil on canvas,"signed 'Carl Wuermer' (lower left), titled on a presentation plaque and on an unattributed label (affixed to the backing), signed 'Carl Wuermer' on a second unattributed label (affixed to the backing)",,,,20 x 24 in. (50.8 x 61.0 cm)framed 27 x 31 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
40,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,41,500,700,892.5,Dennis Sheehan ,1950,,American,Late October Snow ,oil on canvas,"signed 'Sheehan' (lower right), titled in an inscription on the tacking edge",,,,20 x 24 in. (50.8 x 61.0 cm)framed 25 1/2 x 29 1/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
41,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,42,3000,5000,5100.0,Aldro Thompson Hibbard ,1886,1972,American,Distant Range ,oil on canvas,"signed 'A.T. Hibbard' (lower right), titled on a photograph of the reverse prior to lining (affixed to the backing)",,,,22 x 32 in. (55.9 x 81.3 cm)framed 28 3/4 x 38 3/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
42,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,43,4000,6000,2550.0,Pasquale  Patsy Santo ,1893,1975,American,"Peaceful Valley (Viereck Farm, North Bennington, Vermont) ",oil on canvas,signed 'Patsy Santo' (lower right),,,,22 x 30 1/4 in. (55.9 x 76.8 cm)framed 30 x 38 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
43,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,44,1000,1500,1020.0,Peggy Bacon ,1895,1987,American,The Artist (Alexander Brook) ,charcoal on paper,"signed 'Peggy Bacon' (lower right), titled on two labels from Kraushaar Galleries, New York (affixed to the frame backing)",,,,sight size 8 3/4 x 12 1/2 in. (22.2 x 31.8 cm)framed 15 1/4 x 18 3/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
44,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,45,5000,6000,5100.0,Charles Herbert Woodbury ,1864,1940,American,Studio Interior ,oil on canvas,"unsigned, dated 'July 30 1887' (on the reverse), titled on a label from Vose Galleries of Boston (affixed to the reverse)",10,12,,10 x 12 in. (25.4 x 30.5 cm)framed 15 1/2 x 17 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
45,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,46,1500,2000,1083.75,Attributed to Howard Chandler Christy ,1872,1952,American,"Oil Sketch of Nancy Locke, 1932 ",oil on canvas,"unsigned, inscribed 'NANCY LOCKE/1932/BY Ch. CHRISTY' (on the reverse)",29 7/8,24 7/8,,29 7/8 x 24 7/8 in. (75.8 x 63.2 cm)unframed,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
46,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,47,2000,3000,7012.5,Gertrude Fiske ,1879,1961,American,Race Day ,oil on canvas,"unsigned, identified on a label from Robert Schoelkopf Gallery (affixed to the frame backing foamcore)",,,,14 x 10 in. (35.5 x 25.5 cm)framed 20 1/8 x 16 1/8 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
47,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,48,1000,1500,1402.5,Arthur Saron Sarnoff ,1912,2000,American,Cover Illustration for The Hepburn ,oil on illustration board,"signed 'Arthur Sarnoff' (lower right), inscribed '#3' in pencil (lower right), inscribed 'Pocketbooks I' in red pencil (on the reverse), stamps from American Artist Co., New York, and Arthur Brown &amp; Bro. (on the reverse)",,,,sheet size 28 1/2 x 20 5/8 in. (72.5 x 52.2 cm)framed 32 5/8 x 25 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
48,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,49,300,500,446.25,American School ,19th/20th century,,,Lovers Embracing,bronze with green patina ,unsigned,,,,height 11 1/4 in. (28.5 cm)on a painted wood plinth,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
49,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,50,2500,3500,3570.0,Bessie Potter Vonnoh ,1872,1955,American,Bust of a Baby ,,"signed, dated, and inscribed 'Model/Bessie Potter Vonnoh/1901/copyright' in the bronze (back right edge), stamped 'ROMAN BRONZE WORKS N-Y-' in the bronze (lower right edge)",,,,bronze with brown patina<i>height 9 5/8 in. (24.3 cm)</i>,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
50,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,51,4000,6000,2550.0,Edward Francis McCartan ,1879,1947,American,Pan ,,"inscribed '© E. McCATAN [<i>sic</i>]' (on top of the bronze base), stamped 'ROMAN BRONZE WORKS N-Y-' (along the bottom rim of the base)",,,,bronze with brown patina<i>height 15 1/4 in. (including the base)</i>,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
51,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,52,3000,5000,3825.0,Bertha Menzler Peyton ,1871,1947,American,Dance of the Nymphs ,oil on canvas,"signed 'Bertha Menzler-Peyton-' (lower right), with a possible inscription beneath the signature (under the lip of the frame)",,,,20 x 40 in. (51.0 x 101.6 cm)framed 26 1/4 x 46 3/8 x in. (under glass),,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
52,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,53,1000,1500,2040.0,Karl Heinrich Gruppe ,1893,1982,American,Joy ,bronze,dated and signed '1925.K.GRUPPE' (lower back edge),,,,height 9 3/4 in. (24.7 cm) (not including the plinth)original marble plinth,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
53,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,54,700,900,1147.5,Gustav William von Schlegell ,1884,1950,American,Still Life of Flowers and Fruit,oil on canvas ,"unsigned, stamped with the artist's name and dates (on the stretcher)",14,17 7/8,,14 x 17 7/8 in. (35.5 x 45.4 cm)framed 21 x 24 7/8 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
54,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,55,800,1200,1530.0,Karl Heinrich Gruppe ,1893,1982,American,Standing Nude (Untitled) ,bronze with brown patina,"signed 'KARL GRUPPE ©' in the bronze (top of the base), stamped 'ROMAN BRONZE WORKS N.Y.' (along the edge of the octagonal bronze base)",,,,height 13 1/2 in. (34.5 cm) (including 3 1/4 in. plinth)original octagonal marble plinth,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
55,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,56,200000,300000,0.0,Edward Henry Potthast ,1857,1927,American,Ring Around the Rosie ,oil on canvas,Signed 'E Potthast' (lower left),24,30,,24 x 30 in. (61.0 x 76.2 cm)framed 34 x 40 x 1 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
56,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,57,1800,2200,0.0,Raphael Soyer ,1899,1987,American,Reclining Woman ,watercolor and charcoal on paper,signed 'RAPHAEL/SOYER' (lower left),13 7/8,16 7/8,,"13 7/8 x 16 7/8 in. (35.3 x 42.9 cm)matted, unframed",in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
57,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,58,8000,12000,19125.0,Mary Elizabeth Price ,1877,1965,American,Nantucket Flowers ,oil and silver leaf on board,"signed '·M·ELIZABETH PRICE·' (lower left), titled and signed (on the reverse)",,,,13 3/4 x 14 in. (34.9 x 35.5 cm)framed 15 1/2 x 15 3/4 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
